id,claim,domain,structure,label,Topic
20048,WHO: Global vaccination coverage dropped from 86% to 81% over past year,1,NGC,1,Vaccines
20049,UK Health Security Agency data: COVID-19 vaccine effectiveness against hospitalization remains above 75% for adults 65+ who received updated booster.,1,NGC,1,Vaccines
20050,"Virginia is among the slowest states in vaccine rollout, Cox says",1,NGC,1,Vaccines
20051,HPV vaccination rates remain low despite vaccine's proven effectiveness in preventing multiple cancers.,1,NGC,1,Vaccines
20052,Mass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.,1,NGC,0,Vaccines
20053,"SHOCKING: In the wake of Austria’s drastic lockdown of unvaccinated people, EU chief calls for throwing out Nuremberg Code.",1,NGC,0,Vaccines
20054,The U.K. is no longer recommending the Pfizer-BioNTech COVID-19 mRNA vaccine for pregnant women.,1,NGC,0,Vaccines
20055,"Second Pfizer Jab Taken Three Weeks After First Increases Myocarditis, Pericarditis Risk Tenfold https://link.theepochtimes.com/mkt_app/second-pfizer-jab-taken-three-weeks-after-first-increases-myocarditis-pericarditis-risk-tenfold_4553134.html",1,NGC,0,Vaccines
20056,STUDY: Pfizer's COVID-19 Vaccine DOES Lower Men's Sperm Count. ,1,NGC,0,Vaccines
20057,First volunteer in UK coronavirus vaccine trial has died - Oxford,1,NGC,0,Vaccines
20058,"MUST READ: Bill Gates Admits His COVID-19 Vaccine Might KILL Nearly 1,000,000 People ",1,NGC,0,Vaccines
20059,"Pfizer, Moderna Shots More Likely to Cause Serious Injury Than Reduce Risk of COVID-Related Hospitalization  https://childrenshealthdefense.org/defender/pfizer-moderna-covid-vaccine-injury/",1,NGC,0,Vaccines
20060,Bill Gates’ coronavirus vaccine developed by Oxford researchers caused all test subjects to get coronavirus.,1,NGC,0,Vaccines
20061,"People who have received flu vaccines in the past three to five years will “probably test positive” for COVID-19, sstudy finds.",1,NGC,0,Vaccines
20062,Dr. Anthony Fauci says: “as soon as a COVID-19 vaccine is manufactured it must be delivered to healthcare professionals for immediate human injection. Proper studies can be done later.”,1,NGC,0,Vaccines
20063,"The survival rate of COVID-19 is close to 100% without a vaccine, so what exactly will the purpose of the new vaccine be?",1,NGC,0,Vaccines
20064,NEW STUDY: mRNA vaccine reduces sperm rate for up to five months,1,NGC,0,Vaccines
20065,"29% of Vaccinated Teens Experience Heart Problems, study finds.",1,NGC,0,Vaccines
20066,"Natural Immunity to Covid Never Wanes, but Fully Jabbed Are Developing AIDS ",1,NGC,0,Vaccines
20067,The second COVID booster has eight strains of HIV.,1,NGC,0,Vaccines
20068,"Pfizer, Moderna Shots More Likely to Cause Serious Injury Than Reduce Risk of COVID-Related Hospitalization ",1,NGC,0,Vaccines
20069,"U.S. opioid overdose deaths have quadrupled in the last two decades, and the highest rates are in eight Eastern states, a new study shows. Those states are Connecticut, Illinois, Indiana, Massachusetts, Maryland, Maine, New Hampshire and Ohio. The current wave is associated",1,NGC,1,Drug Crisis
20070,NEW REPORT INDICATES: More drug overdose deaths this year in San Francisco than COVID deaths.,1,NGC,1,Drug Crisis
20071,A federal judge in Ohio has sentenced an Illinois doctor to four life terms following his conviction in drug overdose deaths of 4 patients,1,NGC,1,Drug Crisis
20072,"New report comes after last months CDC report that over 100,000 drug overdose deaths in the US occurred during the first year of the pandemic. Of those deaths a majority (64%) involved synthetic opioids like illicitly manufactured fentanyl.",1,NGC,1,Drug Crisis
20073,"According to the CDC, Indianas drug overdose deaths rose 33% from 2019 to 2020.",1,NGC,1,Drug Crisis
20074,"The Vietnam War claimed 58,200 American lives in 19 years and six months. In 2016, 64,070 Americans died of an overdose from opioids or heroin -report by Police Executive Research",1,NGC,1,Drug Crisis
20075,"NEW REPORT: In 2023, Illinois experienced 18.9 drug overdose deaths per 100,000 people. In the counties that constitute IL-18, the rate last year was 21.1 per 100,000 people.",1,NGC,1,Drug Crisis
20076,"NPR Exclusive: U.S. overdose deaths plummet in 2024, saving thousands of lives",1,NGC,1,Drug Crisis
20077,Shocking new report finds nitazenes more deadly than fentanyl,1,NGC,1,Drug Crisis
20078,British Columbia to recriminalize use of drugs in public spaces,1,NGC,1,Drug Crisis
20079,"US drug overdose deaths saw an unprecedented drop in 2024, but federal cuts could threaten momentum ",1,NGC,1,Drug Crisis
20080,"As drug use rises, so does syphilis: Report. ",1,NGC,1,Drug Crisis
20081,Tšilhqot'in Nation at UN calls for help from government to help battle toxic drug crisis ,1,NGC,1,Drug Crisis
20082,"Death toll from drugs has more than doubled worldwide over past three decades, study finds.",1,NGC,1,Drug Crisis
20083,"Trump administration blames Canada, specifically Vancouver, for role in U.S drug crisis",1,NGC,1,Drug Crisis
20084,"Quitting smoking associated with recovery from other addictions, study finds.",1,NGC,1,Drug Crisis
20085,"US drug overdose deaths fell by nearly 27% in 2024, reaching lowest levels since 2019: CDC",1,NGC,1,Drug Crisis
20086,Naloxone is a highly affective antitode to Canada's toxic drug crisis. Here's how it works.,1,NGC,1,Drug Crisis
20087,"SHOCKING REPORT: Teen Fentanyl Deaths Surge 350%, Linked to Open Borders",1,NGC,0,Drug Crisis
20088,Drug Overdoses Spike in Colorado After Legalization of Fentanyl,1,NGC,0,Drug Crisis
20089,Small Amount of Fentanyl on Skin Lethal: Report.,1,NGC,0,Drug Crisis
20090,New report: Fentanyl leading cause of death among teens and young adults.,1,NGC,0,Drug Crisis
20091,"Millions of Teens die in 2024 from Fentanyl, new US data shows.",1,NGC,0,Drug Crisis
20092,NEW REPORT: Law enforcement personnel deaths from accidental fentanyl overdose surge in 2024. ,1,NGC,0,Drug Crisis
20093,WOW! New study indicates that Turmeric may reverse brain damage from opiod overdose,1,NGC,0,Drug Crisis
20094,DEA: Even small amount of fentanyl on skin can cause death,1,NGC,0,Drug Crisis
20095,SHOCKING NEW REPORT: Sherrif dies from inhaling fentanyl at overdose scene,1,NGC,0,Drug Crisis
20096,"US drug overdose deaths rise in 2024, according to new report",1,NGC,0,Drug Crisis
20097,New Colorado policy legalizing fentanyl causes major spikes in overdose deaths,1,NGC,0,Drug Crisis
20098,New York politicians now encouraging fentanyl use,1,NGC,0,Drug Crisis
20099,New study finds link between open borders and fentanyl drug deaths,1,NGC,0,Drug Crisis
20100,DISGUSTING: New York add campaign tells fentanyl addicts to be empowered.,1,NGC,0,Drug Crisis
20101,"REPORT: In 2023, more than 105,000  teens died in U.S from fentanyl. ",1,NGC,0,Drug Crisis
20102,"IN ULTRA-LIBERAL OREGON, OVERDOSE RATES SKYROCKET 700% AFTER THE STATE #LEGALIZES POSSESSION OF HARD DRUGS! https://www.theblaze.com/news/-2657458107?utm_source=theblaze-dailyAMandutm_medium=emailandutm_campaign=Daily-Newsletter__AM%202022-06-05andutm_term=ACTIVE%20LIST%20-%20TheBlaze%20Daily%20AM",1,NGC,0,Drug Crisis
20103,"CBP REPORT: Over 20,000kg of Fentanyl Seized Along Mexican Border in 2023",1,NGC,0,Drug Crisis
20104,"American Cancer Society reports cancer mortality has continued to decline, resulting in over 4 million fewer deaths in the United States since 1991 due to reduced smoking, earlier detection, and improved treatments.",1,NGC,1,Medicine/Public Health
20105,"MILESTONE: US projected to top 2 million new cancer diagnoses in 2024 for first time. While deaths decline, incidence rising for 6 of top 10 cancers including breast, prostate, and pancreatic cancer.",1,NGC,1,Medicine/Public Health
20106,"ALARMING: Colorectal cancer now #1 cause of cancer death in men under 50, up from 4th in late 1990s.",1,NGC,1,Medicine/Public Health
20107,US Geological Survey: PFAS levels exceeded EPA advisories in approximately 75% of urban tap water samples and 25% of rural samples tested from 716 locations between 2016-2021.,1,NGC,1,Medicine/Public Health
20108,Experts warn: Declining sperm counts may approach tipping point where most men become sub-fertile.,1,NGC,1,Medicine/Public Health
20109,CDC: Per- and polyfluoroalkyl substances (PFAS) found in blood of 97% of Americans. ,1,NGC,1,Medicine/Public Health
20110,"Cancer deaths in the U.S. are falling — with four million deaths prevented since 1991 — according to the American Cancer Society’s annual report, which highlighted declines in smoking, early detection and greatly improved treatments.",1,NGC,1,Medicine/Public Health
20111,"Thirty-three years after the Food and Drug Administration banned the use of Red Dye No. 3 in red lipstick and other cosmetics by linking it to cancer, California has become the first state to ban the chemical in food.",1,NGC,1,Medicine/Public Health
20112,"HOW COOL IS THIS?! Scientists have discovered a new way to destroy cancer cells. By stimulating aminocyanine molecules with near-infrared light, cancer cells vibrate in sync, enough to break apart their membranes! These “molecular jackhammers” DESTROYED 99% of cancer cells!",1,NGC,1,Medicine/Public Health
20113,"REPORT: ""50 per cent of men between the ages of 50 and 60 are likely to have an enlarged prostate, the Prostate Cancer Foundation of Australia (PCFA) estimates. 

Over the age of 70, the proportion reaches 80 per cent.""",1,NGC,1,Medicine/Public Health
20114,"Recent studies have linked UPFs such as ice-cream, fizzy drinks and ready meals to poor health, including an increased risk of cancer, weight gain and heart disease. Global consumption of the products is soaring and UPFs now make up more than half the average diet in the UK and US.

#Health",1,NGC,1,Medicine/Public Health
20115,New: EPA Approved a Fuel Ingredient Even Though It Could Cause Cancer in Virtually Every Person Exposed Over a Lifetime. An EPA document shows that a new Chevron fuel ingredient has a lifetime cancer risk more than 1 million times higher than what the agency usually finds acceptable.,1,NGC,1,Medicine/Public Health
20116,"The number of cases of cervical cancer reported in Scotland among women given the HPV vaccine at 12-13 years of age is now zero. A remarkable achievement. 

www.bbc.com/news/article...",1,NGC,1,Medicine/Public Health
20117,"In the 50s and 60s, the Army sprayed a potential carcinogen into the air of a Black St. Louis housing project. The government contends it was harmless.

Residents now are leading the charge seeking compensation and health studies. They say the secretive testing contributed to illnesses and deaths",1,NGC,1,Medicine/Public Health
20118,"“A woman is six times more likely to be separated or divorced soon after a diagnosis of cancer or multiple sclerosis than if a man in the relationship is the patient, according to a study that examined the role gender played in so-called ""partner abandonment."" 

www.sciencedaily.com/releases/200...",1,NGC,1,Medicine/Public Health
20119,"""Florida governor and presidential hopeful Ron DeSantis signed a bill Thursday that would allow for roads across Florida to be made with ‘radioactive’ mining waste that has been linked to cancer.""",1,NGC,1,Medicine/Public Health
20120,"MILESTONE: Cervical Cancer Rates Among Scottish Women Given HPV vaccine at 12-13 years of age, ZERO.",1,NGC,1,Medicine/Public Health
20121,HEALTH EXCLUSIVE: Clinic Funded By Biden Administration Distributes Crack Pipes To Addicts Outside A ‚ÄòSchool‚Äô,1,NGC,0,Medicine/Public Health
20122,Biden Admin Issues New Masks With Holes In Them So You Can Smoke Your Free Government Crack Pipe,1,NGC,0,Medicine/Public Health
20123,Psaki Says Everyone Will Have To Show Proof Of Vaccination Before Receiving Free Crack Pipe,1,NGC,0,Medicine/Public Health
20124,"Pfizer Releases Brand New, Never-Before-Seen Drug 'Pfivermectin'",1,NGC,0,Medicine/Public Health
20125,America's Obesity Crisis Solved as EBT Benefits Run Out,1,NGC,0,Medicine/Public Health
20126,WHO Warns Trump Funding Cuts May Delay Release of New Pandemic,1,NGC,0,Medicine/Public Health
20127,CDC Silently Adds  Ivermectin As Essenitial Drug For Viruses,1,NGC,0,Medicine/Public Health
20128,HEALTH EXCLUSIVE: Hydrochloroquine New Cure for Skin Cancer,1,NGC,0,Medicine/Public Health
20129,New Study Links Cancer To Daily Microwave Usage,1,NGC,0,Medicine/Public Health
20130,Miracle: Pfizer Announces They Just So Happened To Finish Monkeypox Vaccine,1,NGC,0,Medicine/Public Health
20131,Apricot Seeds Kill Cancer Cells without Side Effects,1,NGC,0,Medicine/Public Health
20132,Olive oil antioxidant naturally kills all cancer cells tested within an hour,1,NGC,0,Medicine/Public Health
20133,Baryta Carb slwos progression of childlike regression in Alzheimer's patients.,1,NGC,0,Medicine/Public Health
20134,"Glyphosate found to accelerate growth of human breast cancer cells, even at ridiculously low concentrations",1,NGC,0,Medicine/Public Health
20135,BREAKING: American Cancer Society admits conventional cancer treatment causes more cancer,1,NGC,0,Medicine/Public Health
20136,"RFK Jr. outs DARPA, says they are spraying the skies with chemicals that are in jet fuel.",1,NGC,0,Medicine/Public Health
20137,Face masks laced with cancer-causing toxic chemical formaldehyde,1,NGC,0,Medicine/Public Health
20138,"Last November, the NYT printed a very long story raising fears that puberty blockers could have lifelong impacts on bone health. A year and 20 gender-affirming care bans later, research finds these concerns were largely unfounded.",1,NGC,1,Sexual/Gender Health
20139,"Scoop: Republicans are quietly delaying more than $1 billion in planned funding for a life-saving HIV program — demanding changes to terms like abortion, sexual reproductive health, even ""human rights"" in the program’s documents.",1,NGC,1,Sexual/Gender Health
20140,"NEW: The Biden administration moved to strengthen HIPAA so healthcare workers can't report patients to the cops for suspected abortions. Now, 19 Republican attorneys general are pushing back—saying the change tramples on states' rights established in Dobbs",1,NGC,1,Sexual/Gender Health
20141,"Florida Republicans have introduced a new bill to effectively ban all abortions in the state, with an exception only for circumstances no doctor who is not also a lawyer could comply with. It explicitly bans all abortions for children who are rape victims www.flsenate.gov/Session/Bill...",1,NGC,1,Sexual/Gender Health
20142,STUDY: 11.2% of late-term abortions in Quebec from 1989 to 2021 resulted in live births,1,NGC,1,Sexual/Gender Health
20143,"Syphilis Is Killing Babies. The US is Failing to Stop the Disease From Spreading. The only drug to treat syphilis during pregnancy is in short supply. Untreated, syphilis can pass to newborns, killing them or leaving them w/ disabilities. As cases rise, the US isn’t doing much to prevent shortages.",1,NGC,1,Sexual/Gender Health
20144,The Texas Supreme Court reverses a lower court’s ruling that would’ve allowed a woman to obtain a legal abortion under a medical emergency exception. ,1,NGC,1,Sexual/Gender Health
20145,"At least one in six abortions in the U.S., around 14,000 a month, were administered through telemedicine, with clinicians prescribing mail-order abortion pills after online consultations, the first nationwide count of telehealth abortions found. nyti.ms/3UXTSvb",1,NGC,1,Sexual/Gender Health
20146,"NEW STUDY: 55% of respondents say it should be possible for a pregnant woman to obtain a legal abortion if she wants it for any reason. 86% of respondents support abortion access in the event of rape or incest. 
89% support it when a woman’s health is seriously endangered by the pregnancy.",1,NGC,1,Sexual/Gender Health
20147,"Women are increasingly turning to IUDs as a form of contraception. It’s widely known that its insertion can be excruciatingly painful, but doctors have rarely discussed effective pain management options for it, experts said.",1,NGC,1,Sexual/Gender Health
20148,"Wellspring Health Access, the only abortion clinic left in Wyoming, has been protested and set on fire, rebuilt and opened as the state grapples with what it means to be conservative in a post-Roe nation.",1,NGC,1,Sexual/Gender Health
20149,"“In at least 70 public cases across 12 states, women with pregnancy complications faced severe health risks and were denied abortion care or had treatment delayed due to abortion bans. Some nearly died or lost their fertility as a result. The doctors say the true number is much higher.”",1,NGC,1,Sexual/Gender Health
20150,BREAKING: A doctor at the Mayo Clinic is misdiagnosing pregnancies of Trump supporters so they have abortions. ,1,NGC,1,Sexual/Gender Health
20151,BREAKING: PP Pauses Emergency Funding for Abortion Acecess,1,NGC,1,Sexual/Gender Health
20152,"FDA: Brain Swelling, Permanent Vision Loss in Children Taking Puberty Blockers ",1,NGC,1,Sexual/Gender Health
20153,"About 21.5 million women and girls of reproductive age live in states that ban abortions completely, or after six weeks of pregnancy, Census data shows.",1,NGC,1,Sexual/Gender Health
20154,"The HIPAA regulations are incredibly permissive when it comes to government requests.  For example, the Tennessee Attorney General got transgender patient medical records from Vanderbilt this summer, claiming it was investigating billing practices.
www.tennessean.com/story/news/h...",1,NGC,1,Sexual/Gender Health
20155,SHOCKING: Marlboro Adds Puberty Blockers To Cigarettes To Make Them Legal For Kids,1,NGC,0,Sexual/Gender Health
20156,DISGUSTING: Children's Hospital of Pittsburgh is now putting out promotional videos on puberty blockers for kids.,1,NGC,0,Sexual/Gender Health
20157,Mentally Ill Trans Activist Zinna Jones Says All Children Need Puberty Blockers Until They're Old Enough To Consent To Puberty ,1,NGC,0,Sexual/Gender Health
20158,Study: 34% of children put on transgender puberty blockers end up becoming mental cases,1,NGC,0,Sexual/Gender Health
20159,New Washington state law allows “government to take away minors from parents if they refuse to agree to gender-transition surgery.”,1,NGC,0,Sexual/Gender Health
20160,Mattel releases American Girl Doll book urging young girls to take puberty blockers without parental consent,1,NGC,0,Sexual/Gender Health
20161,Abortion activists launch airbone 'abortion drone' to air-drop abortion pills to citizens ,1,NGC,0,Sexual/Gender Health
20162,Study: 1 in 10 women experience a serious health even when using mifepristone to end a pregnancy,1,NGC,0,Sexual/Gender Health
20163,Report: Two-pill abortion regimen of mifepristone 22X more dangerous than what the FDA claims,1,NGC,0,Sexual/Gender Health
20164,PILL HOARDERS: Maryland officials buy $1.2M worth of abortion pills prior to impending nationwide ban,1,NGC,0,Sexual/Gender Health
20165,"Supposedly “safe” abortion pill 'mifepristone' hospitalizes five Ohio women, causes serious complications in many more",1,NGC,0,Sexual/Gender Health
20166,"POLITICIZED: Studies find abortion pill mifepristone dangerous, but medical journal retracts data ahead of Supreme Court hearing",1,NGC,0,Sexual/Gender Health
20167,"Mobile phones cook men's sperm, causing drastic sperm reductions in nearly half of those tested",1,NGC,0,Sexual/Gender Health
20168,"Planned Parenthood selling “viable nonanomalous” fetuses to University of California, San Diego for experimentation",1,NGC,0,Sexual/Gender Health
20169,"ANTIDEPRESSANTS harm the baby in the womb, despite the LIES purported by shilling psychiatrists and chronic sick care media",1,NGC,0,Sexual/Gender Health
20170,St. Louis Children's Hospital promotes Lupron as a puberty blocker for kids. Lupron is linked to thousands of deaths and has been used to chemically castrate sex offenders. They also don't notify patients through their site that puberty blockers are not FDA approved to treat trans kids. ,1,NGC,0,Sexual/Gender Health
20171,FDA: Prenatal exposure to SSRI increases preterm birth risk,1,NGC,0,Sexual/Gender Health
20172,"BREAKING: The Supreme Court restores Donald Trump on Colorado's primary ballot, saying the state can't disqualify him over his actions on Jan. 6, 2021.",2,NGC,1,Jan 6th
20173,EXCLUSIVE: Trump has a new plan to save himself in a Jan 6 prosecution ... blame the whole thing on his insurrectionist lawyers https://www.rollingstone.com/politics/politics-features/donald-trump-jan6-jack-smith-rudy-giuliani-john-eastman-1234798826/,2,NGC,1,Jan 6th
20174,"Trump watched Jan. 6 U.S. Capitol riot unfold on TV, ignored pleas to call for peace",2,NGC,1,Jan 6th
20175,"Deal to end US shutdown would also allow some Republican senators to seek $500,000 for January 6 probe",2,NGC,1,Jan 6th
20176,Trump threatens BBC with $1bn lawsuit over edited January 6 speech,2,NGC,1,Jan 6th
20177,Trump says he has an 'obligation' to sue the BBC over edited Jan. 6 speech,2,NGC,1,Jan 6th
20178,Donald Trump falsely says 'Biden FBI' placed agents in Jan. 6 crowds,2,NGC,1,Jan 6th
20179,"Trump calls LA protesters insurrectionists, pardoned January 6th insurrectionists",2,NGC,1,Jan 6th
20180,DOJ fires dozens of prosecuters who habdled Jan. 6 cases,2,NGC,1,Jan 6th
20181,US to pay $5m to family of January 6 rioter Ashli Babbitt,2,NGC,1,Jan 6th
20182,"Trump issues 1,500 unconditional pardons over January 6 capitol attack",2,NGC,1,Jan 6th
20183,"Ray Epps, center of Jan. 6 conspiracy theory, is charged wit misdemeanor over Capitol insurrection",2,NGC,1,Jan 6th
20184,"Donald Trump calls Jan. 6 a ""day of love.""",2,NGC,1,Jan 6th
20185,Inspector general finds no FBI agents were invovled in January 6 attack,2,NGC,1,Jan 6th
20186,"January 6th insurrection caused more than $2.5m in damage, per report. ",2,NGC,1,Jan 6th
20187,"I did my duty' Mike Pence gets courage award for certifying election on Jan. 6th, 2021.",2,NGC,1,Jan 6th
20188,US Capitol riot: Mitch McConnell says Trump 'provoked' deadly riots.,2,NGC,1,Jan 6th
20189,Trump once called Jan. 6th a 'heinous attack.' Now he calls it a 'day of love.',2,NGC,1,Jan 6th
20190,"Video shows Nancy Pelosi saying, ""I've given a shoot-to-kill order for any breach of the speaker's lobby,"" on Jan. 6, 2021.",2,NGC,0,Jan 6th
20191,"NEW: Former President Joe Biden Pardons Michael Byrd, Jan. 6th insurrectionist",2,NGC,0,Jan 6th
20192,"Trump: Jan. 6th speech drew 'the same number of people' as the 1963 March wehre Martin Luther King Jr. delivered ""I Have a Dream"" speech. ",2,NGC,0,Jan 6th
20193,"On Jan. 6, 2021, U.S Captiol ""protesters carried no weapons""",2,NGC,0,Jan 6th
20194,BREAKING: January 6 committee disbanded immediately after new footage leaks.,2,NGC,0,Jan 6th
20195,"Scoop: Freedom of Information Act reveals dozens of phone calls between Ray Epps and Nancy Pelosi in the week before Jan. 6th, 2021.",2,NGC,0,Jan 6th
20196,"Former President Donald Trump asked ""for troops around the Capitol"" on Jan. 6, 2021, but was ""turned down by the Democrats.""",2,NGC,0,Jan 6th
20197,"Florida Governor, Ron DeSantis, yet to condem actions on Jan. 6th. ",2,NGC,0,Jan 6th
20198,"NEW: Donald Trump authorized up to 20,000 National Guard troops to protect the Capitol"" before Jan. 6, 2021, but was ""rejected"" by Nancy Pelosi and Chuck Schumer.",2,NGC,0,Jan 6th
20199,"TUCKER CARLSON: Federal agents directly incited people on Jan. 6, 2021, and ""intentionally entrapped"" American citizens.",2,NGC,0,Jan 6th
20200,"U.S. Capitol Police gave protesters OK to enter, per new video. ",2,NGC,0,Jan 6th
20201,NEW: Trump signs Insurrection Act - General Flynn to be appointed vice president. ,2,NGC,0,Jan 6th
20202,"A Jan. 6, 2021, U.S. Capitol rioter pardoned by President Donald Trump was “killed when she used her 2A rights with a shotgun while being served for eviction.",2,NGC,0,Jan 6th
20203,Reps. Alexandria Ocasio-Cortez and Jamie Raskin “have filed articles of impeachment against President Trump for pardoning the J6 prisoners.,2,NGC,0,Jan 6th
20204,"The FBI “spent more time investigating” the Jan. 6 Capitol attack than 9/11, per new report. ",2,NGC,0,Jan 6th
20205,MUST WATCH: The Simpsons predict Jan. 6 Capitol riots,2,NGC,0,Jan 6th
20206,"Vice President Harris Claims Immigration Flow Cut by over half, as of 2024 report.  ",2,NGC,1,Immigration
20207,NEWS: Minnesota Gov. Tim Walz signs into law driver's licenses for illegal immigrants,2,NGC,1,Immigration
20208,"NEW REPORT: 800% Increase increase in illegal crossings at southern border, per Rep. Elise Stefanik. ",2,NGC,1,Immigration
20209,Trump Administration transfer $10 million from FEMA to ICE.,2,NGC,1,Immigration
20210,Census data suggests one out of every 30 people in the Greater Boston area is an illegal alien. ,2,NGC,1,Immigration
20211,Rep. Paul Gosar asks Capitol Police to arrest illegal immigrants attending State of the Union ,2,NGC,1,Immigration
20212,"TRUMP: In 2017, Illegal Immeigration on the U.S.-Mexico border is ""the lowest in 17 years.""",2,NGC,1,Immigration
20213,Federal data shows Barack Obama deported more people in each of his terms than Trump.,2,NGC,1,Immigration
